instnm,Average net price-students awarded grant or scholarship aid  2018-19 (SFA1819),Percent full-time first-time receiving an award - 6 years (DRVOM2019),State abbreviation (HD2018),City location of institution (HD2018),ZIP code (HD2018),Admissions office web address (HD2018),Longitude location of institution (HD2018),Latitude location of institution (HD2018),Sector of institution (HD2018),Historically Black College or University (HD2018),Carnegie Classification 2018: Undergraduate Instructional Program (HD2018),Carnegie Classification 2018: Basic (HD2018),Carnegie Classification 2018: Undergraduate Profile (HD2018),Institution size category (HD2018),ROTC (IC2018_RV),Study abroad (IC2018_RV),Member of National Collegiate Athletic Association (NCAA) (IC2018),Total price for out-of-state students living on campus 2018-19 (DRVIC2018),Total price for in-state students living on campus 2018-19 (DRVIC2018),Percent admitted - total (DRVADM2018_RV),Admissions yield - total (DRVADM2018_RV),Percent of undergraduate enrollment that are White (DRVEF2018_RV),Percent of undergraduate enrollment that are women (DRVEF2018_RV),Graduation rate  total cohort (DRVGR2018_RV),Completion of college-preparatory program (ADM2018_RV),Recommendations (ADM2018_RV),SAT Math 25th percentile score (ADM2018_RV),SAT Evidence-Based Reading and Writing 25th percentile score (ADM2018_RV),
CUNY Queens College,,53,NY,Queens,11367,www.qc.cuny.edu/admissions/Pages/default.aspx,-73.816098,40.735182,1,2,11,18,9,4,1,1,1,36577,28907,48,22,26,54,55,1,3,540,520,
CUNY School of Law,,,NY,Long Island City,11101,www.law.cuny.edu/admissions.html,-73.943621,40.747797,1,2,0,31,0,1,0,0,0,,,,,,,,,,,,
CUNY York College,,29,NY,Jamaica,11451,www.york.cuny.edu/admissions,-73.796313,40.701576,1,2,12,22,7,3,1,1,1,,,53,16,4,64,30,1,3,440,450,
Curry College,28766,52,MA,Milton,02186-2395,https://www.curry.edu/future-students,-71.116539,42.238061,2,2,16,19,10,2,1,1,1,58550,58550,93,11,65,58,53,1,1,470,470,
Curtis Institute of Music,17238,78,PA,Philadelphia,19103,www.curtis.edu/admissions/,-75.170727,39.948857,2,2,8,30,14,1,0,0,0,23369,23369,5,87,28,49,64,3,1,,,
Cypress College,,50,CA,Cypress,90630-5897,www.cypresscollege.edu/admissions,-118.025143,33.828330,1,2,5,14,5,4,0,1,0,,,,,15,57,30,,,,,
D'Youville College,19659,54,NY,Buffalo,14201-1084,www.dyc.edu/admissions/,-78.890868,42.902636,2,2,16,17,7,2,1,1,1,43174,43174,100,20,70,74,60,1,5,520,510,
Daemen College,18218,55,NY,Amherst,14226-3592,www.daemen.edu/admissions,-78.788111,42.965605,2,2,13,17,15,2,1,1,1,43995,43995,54,19,75,70,57,1,1,,,
Dakota State University,,36,SD,Madison,57042-1799,dsu.edu/admissions,-97.113358,44.013014,1,2,16,20,9,2,1,1,0,24965,21992,83,46,83,41,47,3,3,490,470,
Dakota Wesleyan University,21891,45,SD,Mitchell,57301-4398,www.dwu.edu/admissions,-98.031188,43.697432,2,2,15,22,13,2,0,1,0,37840,37840,74,36,83,57,60,2,3,460,440,
Dallas Baptist University,27259,57,TX,Dallas,75211-9299,https://www.dbu.edu/admissions,-96.947006,32.710017,2,2,13,17,9,2,1,1,1,41170,41170,88,23,59,58,53,2,3,530,560,
Dallas Christian College,28323,23,TX,Dallas,75234-7299,www.dallas.edu/Admissions,-96.887117,32.913692,2,2,15,24,7,1,0,0,0,33844,33844,29,37,41,40,21,2,2,403,408,
Dallas Theological Seminary,,,TX,Dallas,75204,WWW.DTS.EDU/admissions,-96.780497,32.795361,2,2,0,24,0,2,0,0,0,,,,,,,,,,,,
Dalton State College,,28,GA,Dalton,30720-3797,https://www.daltonstate.edu/admissions/admissions-resource-center.cms,-85.002775,34.774221,1,2,15,22,7,3,0,1,0,25034,16612,,,61,60,22,,,,,
Daniel Morgan Graduate School of National Security,,,DC,Washington,20036-5699,dmgs.org/admissions/,-77.037434,38.903430,2,2,-2,-2,-2,1,0,0,0,,,,,,,,,,,,
Dartmouth College,23869,96,NH,Hanover,03755-3529,admissions.dartmouth.edu/,-72.289949,43.704115,2,2,7,15,14,3,1,1,1,74359,74359,9,61,50,49,95,2,1,720,700,
Davenport University,16061,45,MI,Grand Rapids,49512-9396,www.davenport.edu/admissions,-85.533519,42.850013,2,2,19,18,5,3,0,1,1,31564,31564,89,33,66,56,49,2,3,,,
Davidson College,27714,91,NC,Davidson,28035,www.davidson.edu/admission-and-financial-aid,-80.843979,35.499767,2,2,6,21,14,2,1,1,1,68594,68594,19,46,67,48,90,1,1,650,640,
Davis & Elkins College,18591,43,WV,Elkins,26241-3996,www.dewv.edu/future-students,-79.846022,38.931232,2,2,12,22,10,1,0,1,1,43064,43064,37,21,51,60,41,1,5,450,460,
Davis College,15311,43,NY,Johnson City,13790-2712,https://www.davisny.edu/admissions/admissions/,-75.962510,42.101074,2,2,18,24,9,1,0,0,0,27650,27650,42,58,62,48,59,3,1,,,
Daytona State College,,41,FL,Daytona Beach,32114,www.daytonastate.edu/admissions.html,-81.049685,29.203275,1,2,5,23,5,4,0,1,0,,,,,62,61,37,,,,,
Dean College,32077,40,MA,Franklin,02038-1941,www.dean.edu/admissions,-71.397813,42.085634,2,2,5,23,10,2,0,1,1,58770,58770,83,12,56,52,39,1,2,450,460,
Defiance College,26811,38,OH,Defiance,43512,www.defiance.edu/admissions/index.html,-84.357075,41.296842,2,2,18,22,11,1,0,1,1,46720,46720,52,20,72,47,39,2,5,425,430,
Delaware State University,,36,DE,Dover,19901,www.desu.edu/admissions,-75.540530,39.187173,1,1,13,16,10,2,1,1,1,32456,23420,49,30,8,66,40,2,3,400,440,
Delaware Technical Community College-Terry,,24,DE,Dover,19901,https://www.dtcc.edu/admissions-financial-aid,-75.560120,39.198371,1,2,5,14,5,4,0,1,0,,,,,51,64,14,,,,,
Delaware Valley University,28016,56,PA,Doylestown,18901-2697,www.delval.edu/admission,-75.158452,40.298659,2,2,16,20,13,2,0,1,1,56580,56580,92,28,66,60,53,1,5,480,490,
Dell'Arte International School of Physical Theatre,,0,CA,Blue Lake,95525-0816,www.dellarte.com/school,-123.988808,40.880924,2,2,0,30,11,1,0,1,0,,,,,50,80,,3,1,,,
Delta State University,,37,MS,Cleveland,38733,www.deltastate.edu/academic-affairs/admissions/,-90.735365,33.744745,1,2,16,18,11,2,0,0,1,20068,20068,85,38,61,59,39,1,3,480,470,
Denison University,36650,87,OH,Granville,43023,https://www.denison.edu/admission/,-82.523272,40.071505,2,2,6,21,14,2,1,1,1,66870,66870,34,24,62,54,85,1,1,610,600,
Denver Seminary,,,CO,Littleton,80120,www.denverseminary.edu/admissions/,-105.022363,39.600595,2,2,0,24,0,1,0,0,0,,,,,,,,,,,,
DePaul University,32022,71,IL,Chicago,60604,https://www.depaul.edu/admission-and-aid/types-of-admission/Pages/default.aspx,-87.627240,41.877618,2,2,14,16,13,5,1,1,1,57678,57678,68,15,52,53,72,1,1,,,
DePauw University,29557,82,IN,Greencastle,46135-1772,www.depauw.edu/admission/,-86.860363,39.640904,2,2,6,21,14,2,1,1,1,64924,64924,63,16,66,53,85,2,1,560,560,
Des Moines University-Osteopathic Medical Center,,,IA,Des Moines,50312,www.dmu.edu/admission,-93.661686,41.583325,2,2,0,25,0,2,0,0,0,,,,,,,,,,,,
DeSales University,28893,70,PA,Center Valley,18034-9568,www.desales.edu/admissions-financial-aid,-75.375608,40.539091,2,2,16,18,8,2,1,1,1,54020,54020,79,21,69,64,71,1,1,500,510,
Dickinson College,33139,83,PA,Carlisle,17013-2896,www.dickinson.edu/homepage/287/admissions,-77.197854,40.202796,2,2,6,21,14,2,1,1,1,71339,71339,49,21,64,58,84,2,1,,,
Dickinson State University,,32,ND,Dickinson,58601-4896,www.dickinsonstate.edu/admissions,-102.799679,46.882917,1,2,15,22,7,2,0,1,0,21610,18832,100,52,79,60,34,1,3,490,445,
Dillard University,17269,39,LA,New Orleans,70122, ,-90.064640,29.996587,2,1,12,21,10,2,1,1,0,33684,33684,61,10,0,76,42,3,2,,,
Dine College,,6,AZ,Tsaile,86556,https://www.dinecollege.edu/admissions/admissions/,-109.216840,36.293328,1,2,5,33,7,2,0,0,0,12000,12000,,,1,68,17,,,,,
Divine Mercy University,,,VA,Arlington,22202,www.divinemercy.edu,-77.051354,38.855847,2,2,0,26,0,1,0,0,0,,,,,,,,,,,,
Divine Word College,1585,33,IA,Epworth,52045,https://www.dwci.edu/admissions,-90.934578,42.441721,2,2,6,24,11,1,0,1,0,20110,20110,100,14,2,37,75,3,1,,,
Dixie State University,,38,UT,Saint George,84770-3876,admissions.dixie.edu/,-113.565903,37.102769,1,2,5,23,6,3,0,1,1,28553,18755,,,76,57,35,,,,,
Doane University,26220,63,NE,Crete,68333,www.doane.edu/admissions,-96.950932,40.622952,2,2,9,21,12,2,1,1,0,48570,48570,68,14,81,45,65,2,1,,,
Doane University-Graduate and Professional Studies,,,NE,Lincoln,68504,www.doane.edu/school-of-graduate-and-professional-studies,-96.650758,40.815541,2,2,18,18,5,2,0,0,0,,,,,78,65,,,,,,
Dominican College of Blauvelt,19527,43,NY,Orangeburg,10962-1210,www.dc.edu/admissions/,-73.950555,41.047419,2,2,16,20,11,2,0,1,1,46600,46600,77,19,33,66,43,3,5,470,470,
Dominican School of Philosophy & Theology,,,CA,Berkeley,94708-1816,https://www.dspt.edu/contact-admissions,-122.264612,37.881099,2,2,0,24,0,1,0,1,0,,,,,,,,,,,,
Dominican University,19280,61,IL,River Forest,60305,www.dom.edu/admission,-87.823003,41.902678,2,2,10,18,13,2,0,1,1,46175,46175,64,15,29,68,61,1,3,470,480,
Dominican University of California,34905,72,CA,San Rafael,94901-2298,https://www.dominican.edu/admissions,-122.512051,37.981279,2,2,16,19,13,2,0,1,1,65818,65818,87,17,28,73,72,2,1,520,515,
Dongguk University Los Angeles,,,CA,Los Angeles,90020-1704,www.dula.edu/prospective/admissions,-118.289523,34.065970,2,2,0,26,0,1,0,0,0,,,,,14,71,,,,,,
Donnelly College,13605,13,KS,Kansas City,66102, ,-94.650677,39.112256,2,2,5,23,7,1,0,0,0,,,,,13,70,19,,,,,
Dordt University,26570,66,IA,Sioux Center,51250-1697,www.dordt.edu/admissions,-96.166562,43.082527,2,2,15,22,14,2,0,1,0,45070,45070,73,32,81,47,73,1,3,530,530,
Dragon Rises College of Oriental Medicine,,,FL,Gainesville,32601, ,-82.312769,29.667368,2,2,0,26,0,1,0,0,0,,,,,,,,,,,,
Drake University,30265,79,IA,Des Moines,50311-4505,www.drake.edu/admission,-93.652163,41.601290,2,2,16,17,14,2,1,1,1,56724,56724,68,16,76,58,78,2,2,560,580,
Drew University,28103,61,NJ,Madison,07940,www.drew.edu/admissions-aid/undergraduate-admissions/,-74.424584,40.761829,2,2,7,21,12,2,0,1,1,57230,57230,69,16,48,58,62,2,1,,,
Drexel University,38025,71,PA,Philadelphia,19104,www.drexel.edu/admissions/overview.aspx,-75.190051,39.955217,2,2,20,15,15,5,1,1,1,70223,70223,77,14,52,48,74,2,1,590,580,
Drury University,19597,64,MO,Springfield,65802-3791,www.drury.edu/admission/,-93.286192,37.219681,2,2,13,19,9,2,0,1,1,40951,40951,68,31,81,58,64,2,5,530,540,
Drury University-College of Continuing Professional Studies,12720,17,MO,Springfield,65802,www.drury.edu/ccps/,-93.286693,37.218523,2,2,-2,-2,-2,2,0,0,0,22777,22777,,,80,66,19,,,,,
Duke University,24386,95,NC,Durham,27708,www.admissions.duke.edu,-78.937624,36.001135,2,2,11,15,14,4,1,1,1,74339,74339,9,55,42,50,96,1,1,740,710,
Dunwoody College of Technology,23576,60,MN,Minneapolis,55403-1192,www.dunwoody.edu/admissions/,-93.290608,44.972810,2,2,5,23,13,2,0,1,0,36288,36288,70,64,70,17,58,2,3,,,
Duquesne University,30732,80,PA,Pittsburgh,15282,www.duq.edu/admissions-and-aid/undergraduate-admissions,-79.993123,40.435890,2,2,16,16,14,3,1,1,1,54364,54364,72,28,80,64,80,1,3,550,580,
Earlham College,23043,68,IN,Richmond,47374-4095,www.earlham.edu/admissions/,-84.915037,39.823431,2,2,6,21,14,2,0,1,1,59850,59850,65,20,51,54,64,5,5,590,570,
East Carolina University,,62,NC,Greenville,27858-4353,www.ecu.edu/admissions/,-77.368291,35.607186,1,2,17,16,13,5,1,1,1,37949,21672,82,29,66,57,65,2,3,520,520,
East Central University,,34,OK,Ada,74820-6999,https://www.ecok.edu/admissions,-96.663849,34.771934,1,2,16,18,11,2,0,1,1,27502,18292,83,74,60,59,35,3,3,470,460,
East Georgia State College,,11,GA,Swainsboro,30401,www.ega.edu/offices/student_affairs/admissions_office,-82.309021,32.594944,1,2,5,14,10,2,0,1,0,22675,16478,,,46,60,11,,,,,
East Stroudsburg University of Pennsylvania,,48,PA,East Stroudsburg,18301-2999,www4.esu.edu/admissions/index.cfm,-75.173905,40.995990,1,2,16,18,11,3,1,1,1,39646,26964,82,16,58,56,50,1,3,450,460,
East Tennessee State University,,41,TN,Johnson City,37614,www.etsu.edu/admissions/,-82.366954,36.301643,1,2,17,16,13,4,1,1,1,42332,24068,87,28,81,57,45,1,3,490,480,
East Texas Baptist University,22956,30,TX,Marshall,75670-1498,https://www.etbu.edu/admissions,-94.374488,32.557847,2,2,16,22,13,2,0,1,1,38787,38787,54,40,66,55,35,3,3,480,480,
East-West University,22309,11,IL,Chicago,60605,https://www.eastwest.edu/priority-acceptance-day/,-87.624793,41.871309,2,2,9,21,10,1,0,0,0,,,,,3,47,10,,,,,
East-West University,,,WI,Keshena,54135-0279,www.eastwest.edu/admissions/,-88.631351,44.881770,2,2,6,21,10,1,0,0,0,,,,,55,36,50,,,,,
Eastern Connecticut State University,,54,CT,Willimantic,06226,www.easternct.edu/admissions/,-72.218753,41.721673,1,2,10,20,13,3,1,1,1,40475,27967,66,27,65,58,58,2,1,,,
Eastern Florida State College,,47,FL,Cocoa,32922,www.easternflorida.edu/admissions/,-80.756474,28.383610,1,2,5,14,5,4,0,1,0,,,,,64,60,47,,,,,
Eastern Illinois University,,55,IL,Charleston,61920,https://www.eiu.edu/admissions.php,-88.175658,39.479843,1,2,13,18,13,3,1,1,1,26525,24305,55,17,61,57,58,1,2,450,470,
Eastern Kentucky University,,43,KY,Richmond,40475-3102,admissions.eku.edu,-84.300796,37.740845,1,2,16,18,13,4,1,1,1,33484,23706,87,30,85,58,47,1,3,510,510,
Eastern Mennonite University,24936,64,VA,Harrisonburg,22802-2462,https://emu.edu/admissions/,-78.880326,38.471134,2,2,16,19,13,2,0,1,1,51500,51500,59,27,69,64,60,2,2,500,500,
Eastern Michigan University,,40,MI,Ypsilanti,48197,www.emich.edu/admissions/,-83.622501,42.246940,1,2,17,16,9,4,1,1,1,26196,26196,76,22,63,60,45,2,3,440,450,
Eastern Nazarene College,20798,45,MA,Quincy,02170-2999,www.enc.edu/admissions/,-71.011079,42.271228,2,2,16,22,11,1,0,1,1,41414,41414,64,23,51,53,46,2,5,450,470,
Eastern New Mexico University-Main Campus,,35,NM,Portales,88130,enmu.edu/future-students/,-103.348190,34.175592,1,2,13,18,7,3,0,1,1,20857,18936,60,35,37,55,35,2,3,430,430,
Eastern Oregon University,,27,OR,La Grande,97850,www.eou.edu/admissions/,-118.092495,45.319795,1,2,13,19,7,2,1,1,0,34724,22664,98,32,72,60,33,2,2,470,470,
Eastern University,24063,60,PA,Saint Davids,19087-3696,https://www.eastern.edu/admissions,-75.370316,40.050448,2,2,16,18,9,2,1,1,1,49461,49461,68,35,49,68,61,2,1,480,550,
Eastern Virginia Medical School,,,VA,Norfolk,23507,www.evms.edu/education/admissions,-76.300694,36.861232,1,2,0,25,0,2,0,0,0,,,,,,,,,,,,
Eastern Washington University,,51,WA,Cheney,99004-2496,www.ewu.edu/Admissions.xml,-117.583808,47.490667,1,2,13,18,11,4,1,1,1,40132,23011,63,34,57,54,44,1,3,430,440,
Ecclesia College,18695,9,AR,Springdale,72762,ecollege.edu/admissions-welcome/,-94.236643,36.214100,2,2,19,24,13,1,0,0,0,28430,28430,70,74,60,44,20,2,1,,,
Eckerd College,36033,68,FL,Saint Petersburg,33711-4700,https://www.eckerd.edu/admissions/,-82.687043,27.715798,2,2,9,21,14,2,1,1,1,61576,61576,68,18,77,66,68,2,1,530,550,
Ecumenical Theological Seminary,,,MI,Detroit,48201-3035,www.etseminary.edu,-83.055266,42.344129,2,2,0,24,5,1,0,0,0,,,,,0,0,,,,,,
Eden Theological Seminary,,,MO,Webster Groves,63119-3192,www.eden.edu/admissions-requirements/,-90.345605,38.592307,2,2,0,24,0,1,0,1,0,,,,,,,,,,,,
Edgewood College,26959,59,WI,Madison,53711-1997,www.edgewood.edu/admissions/freshman-students,-89.422884,43.057059,2,2,16,17,13,2,1,1,1,44216,44216,73,22,77,73,63,2,3,480,490,
Edinboro University of Pennsylvania,,44,PA,Edinboro,16444-0001,www.edinboro.edu/admissions/,-80.121318,41.870717,1,2,13,18,11,2,1,1,1,29648,25600,80,32,82,58,45,2,2,470,490,
Edmonds College,,39,WA,Lynnwood,98036-5912,www.edcc.edu/getting-started/admissions/new-student.html,-122.327598,47.816376,1,2,5,14,5,3,0,1,0,23036,17666,,,43,54,25,,,,,
Edward Via College of Osteopathic Medicine,,,VA,Blacksburg,24060,www.vcom.edu/admissions,-80.406018,37.199659,2,2,0,25,0,2,0,1,0,,,,,,,,,,,,
Edward Waters College,12479,26,FL,Jacksonville,32209,www.ewc.edu/apply/admissions-requirements/,-81.684879,30.344790,2,1,12,22,10,2,0,0,0,25083,25083,56,16,19,51,20,3,3,390,440,
Elizabeth City State University,,37,NC,Elizabeth City,27909,ecsu.edu/admissions/,-76.214041,36.277978,1,1,16,22,11,2,1,1,1,16960,12960,59,28,17,57,42,2,3,440,450,
Elizabethtown College,28198,74,PA,Elizabethtown,17022-2298,www.etown.edu/admissions,-76.593224,40.149236,2,2,13,21,14,2,0,1,1,60460,60460,76,25,86,61,73,1,1,530,540,
Elizabethtown College School of Continuing and Professional Studies,,,PA,Elizabethtown,17022-2298,www.etowndegrees.com/admissions-aid/,-76.593224,40.149236,2,2,16,22,5,1,0,0,0,,,100,83,83,64,,3,3,,,
Elmezzi Graduate School of Molecular Medicine,,,NY,Manhasset,11030-3816, ,-73.702257,40.775582,2,2,0,26,0,1,0,0,0,,,,,,,,,,,,
Elmhurst University,22791,64,IL,Elmhurst,60126-3096,www.elmhurst.edu/admission/,-87.945369,41.897164,2,2,13,18,13,2,0,1,1,51199,51199,67,19,60,60,63,2,2,493,500,
Elmira College,22754,67,NY,Elmira,14901,https://www.elmira.edu/admissions-aid/index.html,-76.813459,42.096100,2,2,13,22,10,1,1,1,1,55050,55050,84,12,74,68,68,1,1,,,
Elon University,36564,84,NC,Elon,27244-2010,www.elon.edu/e-web/admissions/,-79.503440,36.104148,2,2,16,17,14,3,1,1,1,51049,51049,72,22,80,60,83,2,2,570,580,
Embry-Riddle Aeronautical University-Daytona Beach,36063,58,FL,Daytona Beach,32114-3900,daytonabeach.erau.edu/admissions/index.html,-81.048367,29.189903,2,2,19,19,14,3,1,1,1,53250,53250,65,36,56,23,61,1,2,,,
Embry-Riddle Aeronautical University-Prescott,36962,60,AZ,Prescott,86301-3720,prescott.erau.edu/admissions/index.html,-112.449741,34.616766,2,2,16,22,14,2,1,1,1,53046,53046,67,32,62,25,65,1,1,,,
Embry-Riddle Aeronautical University-Worldwide,20500,31,FL,Daytona Beach,32114-3900,worldwide.erau.edu/admissions/,-81.048367,29.189903,2,2,20,28,5,4,0,0,0,,,63,57,57,13,19,2,1,,,
Emerson College,46381,80,MA,Boston,02116-4624,www.emerson.edu/admission,-71.065384,42.352202,2,2,17,18,14,2,0,1,1,68392,68392,36,20,62,60,79,1,1,590,610,
Emmanuel College,18268,44,GA,Franklin Springs,30639,www.ec.edu/admissions,-83.148220,34.283641,2,2,15,22,10,1,0,0,1,31592,31592,42,54,67,50,43,2,3,450,480,
Emmanuel College,29946,66,MA,Boston,02115,www.emmanuel.edu/admissions-aid.html,-71.103634,42.340602,2,2,10,21,14,2,0,1,1,58153,58153,77,13,65,75,66,1,1,540,560,
Emmaus Bible College,15966,71,IA,Dubuque,52001-3096,www.emmaus.edu/admissions,-90.706011,42.508307,2,2,18,24,12,1,0,0,0,29150,29150,95,42,71,55,76,3,1,460,490,
Emory & Henry College,20653,52,VA,Emory,24327-0947,www.ehc.edu/admission,-81.829142,36.772857,2,2,10,21,12,2,1,1,1,50800,50800,70,23,77,53,60,2,5,480,500,
Emory University,25942,91,GA,Atlanta,30322,www.emory.edu/ADMISSIONS/,-84.325512,33.790183,2,2,11,15,15,4,0,1,1,69502,69502,19,28,39,60,90,2,1,690,660,
Emporia State University,,44,KS,Emporia,66801-5415,www.emporia.edu/admissions/,-96.179021,38.414784,1,2,13,18,13,3,0,1,1,34005,20088,85,47,67,63,45,2,3,435,465,
Endicott College,36498,74,MA,Beverly,01915,www.endicott.edu/admission,-70.840847,42.553296,2,2,16,18,10,2,1,1,1,51674,51674,80,26,83,62,76,3,1,,,
Epic Bible College,4840,0,CA,Sacramento,95841,www.epic.edu,-121.362642,38.645152,2,2,5,24,5,1,0,0,0,,,,,43,64,0,,,,,
Episcopal Theological Seminary of the Southwest,,,TX,Austin,78705,ssw.edu,-97.732652,30.293092,2,2,0,24,0,1,0,0,0,,,,,,,,,,,,
Erikson Institute,,,IL,Chicago,60654-4510,https://www.erikson.edu/graduate-education/admissions/,-87.632178,41.890663,2,2,0,32,0,1,0,0,0,,,,,,,,,,,,
Erskine College,35421,61,SC,Due West,29639,visit.erskine.edu/,-82.390950,34.332087,2,2,12,22,12,1,0,1,1,53500,53500,58,38,62,44,61,1,1,470,460,
Eureka College,21178,44,IL,Eureka,61530,www.eureka.edu/admissions/eureka-admissions/,-89.269624,40.714820,2,2,12,22,13,1,0,1,1,37010,37010,57,30,82,48,54,2,2,480,470,
Evangel University,22045,47,MO,Springfield,65802-2125,www.evangel.edu/admissions,-93.262614,37.220956,2,2,16,19,12,2,1,1,0,37374,37374,79,41,81,56,51,3,1,,,
Evangelical Theological Seminary,,,PA,Myerstown,17067-1222,www.evangelical.edu,-76.306252,40.372981,2,2,0,24,0,1,0,0,0,,,,,,,,,,,,
Everglades University,29365,50,FL,Boca Raton,33431,https://www.evergladesuniversity.edu/admissions/,-80.108331,26.391218,2,2,19,19,12,2,0,0,0,,,69,59,49,49,59,3,3,,,
Excelsior College,,,NY,Albany,12203-5159,https://www.excelsior.edu/admissions,-73.862981,42.705487,2,2,13,18,5,5,0,0,0,,,,,61,48,,,,,,
Fairfax University of America,19632,54,VA,Fairfax,22030-0000,www.viu.edu/admissions-aid/,-77.347751,38.849050,2,2,20,28,15,1,0,0,0,,,56,9,2,29,50,3,3,,,
Fairfield University,39546,81,CT,Fairfield,06824-5195,fairfield.edu/admissionaid/undergraduateadmission/,-73.255903,41.157673,2,2,13,18,12,3,1,1,1,65940,65940,60,16,76,60,81,1,1,,,
Fairleigh Dickinson University-Florham Campus,23675,54,NJ,Madison,07940,view2.fdu.edu/admissions/,-74.432121,40.774498,2,2,10,18,12,2,1,1,1,60644,60644,84,16,58,57,54,1,1,,,
Fairleigh Dickinson University-Metropolitan Campus,15601,43,NJ,Teaneck,07666,view2.fdu.edu/admissions/,-74.028986,40.897209,2,2,10,18,9,3,1,1,1,58188,58188,89,14,38,58,46,1,1,,,
Fairmont State University,,36,WV,Fairmont,26554-2470,https://www.fairmontstate.edu/admit/,-80.162433,39.483079,1,2,16,20,11,2,0,1,1,28328,19518,81,43,87,57,36,2,3,440,460,
Faith Baptist Bible College and Theological Seminary,15151,54,IA,Ankeny,50023-2152,https://www.faith.edu/admissions,-93.624422,41.737082,2,2,19,24,12,1,0,1,0,28115,28115,62,73,91,55,51,2,1,470,480,
Faith International University,16217,57,WA,Tacoma,98407-0186,faithseminary.edu/admissions/,-122.516870,47.280168,2,2,12,24,7,1,0,0,0,,,,,27,35,71,,,,,
Faith Theological Seminary,,0,MD,Baltimore,21212-2624,fts.edu/admissions,-76.605906,39.371639,2,2,20,24,5,1,0,0,0,,,50,67,11,54,,3,1,,,
Faith Theological Seminary and Christian College,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family of Faith Christian University,,67,OK,Shawnee,74802,familyoffaith.edu/admissions-info/,-96.901413,35.462234,2,2,-2,-2,-2,1,0,0,0,22914,22914,25,0,70,60,0,3,1,,,
Farmingdale State College,,53,NY,Farmingdale,11735-1021,www.farmingdale.edu/admissions/index.shtml,-73.428320,40.754224,1,2,18,22,13,3,1,1,1,34524,24744,46,39,55,43,50,2,2,510,500,
Fashion Institute of Technology,,79,NY,New York,10001-5992,www.fitnyc.edu/admissions,-73.994781,40.747310,1,2,5,20,15,3,0,1,0,34000,24220,53,57,43,83,78,2,3,,,
Faulkner University,19990,34,AL,Montgomery,36109-3390,www.faulkner.edu/undergrad/admissions/,-86.216410,32.384181,2,2,19,19,7,2,1,1,0,35440,35440,52,20,49,60,28,3,2,530,490,
Fayetteville State University,,32,NC,Fayetteville,28301-4298,https://www.uncfsu.edu/fsu-admissions,-78.891696,35.073641,1,1,16,19,7,3,1,1,1,28410,16802,68,22,18,68,35,1,2,440,450,
Feather River Community College District,,32,CA,Quincy,95971-9124,www.frc.edu/admissions/index.cfm,-120.973067,39.953101,1,2,5,14,5,2,0,0,0,23077,16027,,,40,51,18,,,,,
Felician University,17958,46,NJ,Lodi,07644,www.felician.edu/admissions/undergraduate-admissions/undergraduate-admissions-process,-74.096452,40.867272,2,2,13,19,11,2,0,1,1,51550,51550,81,16,29,70,46,1,3,460,460,
Ferris State University,,50,MI,Big Rapids,49307-2251,www.ferris.edu/admissions/,-85.481925,43.687724,1,2,19,17,7,4,1,1,1,23194,23194,81,23,78,53,49,2,3,470,470,
Ferrum College,23010,35,VA,Ferrum,24088-9000,admissions.ferrum.edu/,-80.021639,36.926912,2,2,15,22,10,2,0,1,1,48530,48530,75,14,51,44,27,2,2,430,440,
Fielding Graduate University,,,CA,Santa Barbara,93105-3538,www.fielding.edu/how-to-apply/contact-an-admissions-advisor/,-119.717161,34.429410,2,2,0,17,0,1,0,0,0,,,,,,,,,,,,
Finlandia University,20295,29,MI,Hancock,49930-1832,www.finlandia.edu/admissions.html,-88.588756,47.127868,2,2,15,22,11,1,1,1,1,36088,36088,32,21,54,51,31,2,3,440,450,
Fisher College,23981,28,MA,Boston,02116,www.fisher.edu/admissions,-71.074125,42.355253,2,2,19,22,5,2,1,1,0,52510,52510,67,13,26,72,29,2,3,,,
Fisk University,24225,46,TN,Nashville,37208-4501,www.fisk.edu/admissions,-86.804805,36.167087,2,1,7,21,10,1,1,1,0,37070,37070,71,22,1,70,44,2,1,420,470,
Fitchburg State University,,60,MA,Fitchburg,01420-2697,www.fitchburgstate.edu/admissions,-71.789666,42.588298,1,2,13,18,13,3,1,1,1,30656,24576,87,25,69,53,61,1,2,500,500,
